type,category,short,long,user,logo,link,description
,Modern Geography,,SRTM15+,hagen,,https://topex.ucsd.edu/WWW_html/srtm15_plus.html,"Global 15 arc-second grid combining predicted seafloor topography, ship soundings and terrestrial elevation."
,Modern Geography,Straume,Straume et al. Cenozoic palaeobathymetry,hagen,,https://www.earthbyte.org/paleobathymetry-models/,One-million-year global Cenozoic palaeobathymetry and topography reconstruction.
,Modern Geography,Natural Earth,Natural Earth,kocsis,naturalearth.png,https://www.naturalearthdata.com/,"Natural Earth title= Free vector and raster map data at 1:10m, 1:50m, and 1:110m scales"
,Modern Geography,ETOPO,ETOPO Global Relief Model,kocsis,etopo.jpg,https://www.ncei.noaa.gov/products/etopo-global-relief-model,"The ETOPO Global Relief Model integrates topography, bathymetry, and shoreline data from regional and global datasets to enable comprehensive, high resolution renderings of geophysical characteristics of the earth’s surface."
,Modern Geography,GEBCO,GEBCO Grid,kocsis,,https://www.gebco.net/data-products/gridded-bathymetry-data,Global ocean and land terrain grid from the General Bathymetric Chart of the Oceans.
portal,Morphology,Sketchfab,Sketchfab,kocsis,,https://sketchfab.com/,Repository for 3D Models and Data
,Morphology,MorphoSource,MorphoSource,kocsis,morphosource-33296362.png,https://www.morphosource.org/,"Find, view, and download 3D data representing the world's natural history, cultural heritage, and scientific collections."
,Morphology,MorphoBank,MorphoBank,kocsis,morphobank.png,https://www.morphobank.org/,"Repository and collaborative platform for morphological character matrices, specimen images and phylogenetic projects."
,Occurrence records,ALA,Atlas of Living Australia,hagen,,https://www.ala.org.au/,"National infrastructure integrating Australian occurrences, collections, citizen science and spatial layers."
,Occurrence records,BIEN,Botanical Information and Ecology Network,hagen,,https://bien.nceas.ucsb.edu/bien/,"Versioned plant-data infrastructure integrating occurrences, vegetation plots, taxonomy and trait observations."
,Occurrence records,IBP,India Biodiversity Portal,hagen,,https://indiabiodiversity.org/,"Participatory Indian biodiversity portal integrating species pages, observations, maps and citizen-science groups."
,Occurrence records,NBN Atlas,NBN Atlas,hagen,,https://nbnatlas.org/,"United Kingdom biodiversity portal integrating occurrence records, species information, datasets and spatial layers."
,Occurrence records,biodiversity.aq,SCAR Antarctic Biodiversity Portal,hagen,,https://www.biodiversity.aq/,"Antarctic biodiversity portal providing occurrence, environmental and data-discovery services through the Scientific Committee on Antarctic Research."
,Occurrence records,SiB Colombia,SiB Colombia,hagen,,https://sibcolombia.net/,Colombia's national biodiversity data network and GBIF node.
,Occurrence records,SANBI-GBIF,South African National Biodiversity Institute GBIF Node,hagen,,https://www.sanbi-gbif.org/,National portal and mobilisation network for South African biodiversity records.
,Occurrence records,speciesLink,speciesLink Network,hagen,,https://specieslink.net/,"Brazilian network integrating natural-history collections, observations and images."
,Occurrence records,GBDB,Geobiodiversity Database,kocsis,gbdb.png,http://www.geobiodiversity.com/,Fossil occurrence and stratigraphic-section database with particularly strong Chinese and East Asian coverage.
,Occurrence records,Neotoma,Neotoma Paleoecology Database,kocsis,packrat-logo.svg,https://www.neotomadb.org/,"Community-curated multiproxy palaeoecological database organised around sites, datasets, samples, chronology and observations."
,Occurrence records,NSB,Neptune Sandbox Berlin,kocsis,neptunedb.png,https://zenodo.org/records/10063218,Marine planktonic microfossil occurrence and deep-sea stratigraphy database built from ocean-drilling cores.
,Occurrence records,NOW,New and Old Worlds Fossil Mammal Database,kocsis,now.png,https://paleobiodb.org/,"Database of Cenozoic land-mammal localities, faunal lists, taxonomy and selected ecological or morphological attributes."
,Occurrence records,PBDB,The Paleobiology Database,kocsis,paleobiodb.png,https://www.paleo-reefs.pal.uni-erlangen.de/,"Community-curated global database of fossil occurrences, collections, taxonomy, stratigraphy, environments and references."
,Occurrence records,PARED,PaleoReefs Database,kocsis,paleoreefs.png,,"Standardised compilation of Phanerozoic reef sites with geological, palaeogeographic and biological attributes."
,Occurrence records,PBot,Integrative Paleobotany Portal,kocsis,pbot.png,https://pbot.paleobiodb.org/,
,Occurrence records,Triton,The Triton Database,kocsis,Triton.png,https://springernature.figshare.com/articles/dataset/Metadata_record_for_Triton_a_new_species-level_database_of_Cenozoic_planktonic_foraminiferal_occurrences/14655564,
,Occurrence records,Sepkoski,Sepkoski's Fossil Marine Animal Genera Compendium,kocsis,,https://sepkoski.palaeoverse.org/,Static genus-level compilation of first and last stratigraphic appearances for marine animal genera.
,Occurrence records,eBird,eBird,kocsis,ebird.svg,https://ebird.org/data/download,"Global citizen-science bird observation programme based on complete checklists, effort metadata and expert review."
,Occurrence records,GBIF,Global Biodiversity Information Facility,kocsis,gbif.jpg,https://www.gbif.org/,"International infrastructure aggregating specimens, observations, sampling events and checklists under biodiversity data standards."
,Occurrence records,iNaturalist,iNaturalist,kocsis,inaturalist.svg,https://www.inaturalist.org/observations/export,"Crowdsourced georeferenced observations with photographs, sounds and community identifications."
,Occurrence records,iDigBio,Integrated Digitized Biocollections,kocsis,idigbio_logo_0.png,https://www.idigbio.org/portal/search,"US national infrastructure for digitised natural-history specimens, media and collection metadata."
,Occurrence records,OBIS,Ocean Biodiversity Information System,kocsis,obis.jpg,https://obis.org/,"Global marine biodiversity infrastructure with marine-specific event, depth, measurement and regional-node support."
,Occurrence records,VertNet,VertNet,kocsis,VertNet_logo.svg,https://vertnet.org/,Federated vertebrate specimen and observation records from natural-history collections.
,Paleoclimate reconstructions,CenCO2PIP,CenCO2PIP,hagen,,https://www.cenco2pip.com/,Community-vetted Cenozoic atmospheric CO2 proxy compilation and reconstruction.
,Paleoclimate reconstructions,CENOGRID,CENOGRID,hagen,,https://doi.pangaea.de/10.1594/PANGAEA.917503,Astronomically tuned global reference composite of benthic foraminiferal carbon and oxygen isotopes.
,Paleoclimate reconstructions,DoD2k,Database of Databases for Common Era Paleoclimate,hagen,,https://lipdverse.org/,Merged and harmonised database of curated Common Era palaeoclimate compilations.
,Paleoclimate reconstructions,NOAA Paleo,NOAA World Data Service for Paleoclimatology,hagen,,https://www.ncei.noaa.gov/products/paleoclimatology,General archive for palaeoclimate proxy records and reconstructions from natural archives.
,Paleoclimate reconstructions,PALEOTEMP,Scotese Phanerozoic palaeotemperature curve,hagen,,https://www.scotese.com/climate.htm,Global mean surface-temperature curve combining oxygen isotopes with lithological and palaeobiological indicators.
,Paleoclimate reconstructions,StabisoDB,StabisoDB,kocsis,stabisodb.png,https://cnidaria.nat.uni-erlangen.de/stabisodb/,
,Paleoclimate reconstructions,PANGAEA,PANGAEA,kocsis,,https://www.pangaea.de/,"Curated data publisher and repository for Earth, environmental and biodiversity data, especially marine and palaeo records."
,Paleoclimate reconstructions,PhanDA,Phanerozoic global surface temperature reconstruction,kocsis,,https://www.science.org/doi/10.1126/science.adk3705,Data-assimilation reconstruction combining proxy SSTs with climate simulations.
,Paleoclimate reconstructions,PhanSST,PhanSST,kocsis,,https://doi.org/10.5281/zenodo.5790387,Global compilation of Phanerozoic sea-surface temperature proxy estimates from several proxy systems.
,Paleogeography and plate-tectonic reconstructions,Cao2017,Cao et al. Phanerozoic paleogeography,hagen,,https://doi.org/10.1016/j.earscirev.2017.09.001,Series of global paleogeographic maps showing coastlines and major mountain belts.
,Paleogeography and plate-tectonic reconstructions,EarthByte,EarthByte global plate models,hagen,earthbyte.png,https://www.earthbyte.org/category/resources/data-models/,"Repository of global plate-rotation, topology and palaeogeographic models distributed for GPlates."
,Paleogeography and plate-tectonic reconstructions,GPlates,GPlates,hagen,,https://www.gplates.org/,"Open-source software and data framework for reconstructing plate motions, geological features and rasters through time."
,Paleogeography and plate-tectonic reconstructions,Marcilly2022,Marcilly et al. Phanerozoic paleocoastlines,hagen,,https://doi.org/10.1016/j.earscirev.2022.104193,Global paleogeographic reconstruction of paleocoastlines using an updated plate model in a palaeomagnetic frame.
,Paleogeography and plate-tectonic reconstructions,Merdith2021,Merdith et al. global reconstruction,hagen,,https://www.earthbyte.org/webdav/ftp/Data_Collections/Merdith_etal_2021_Gondwana/,Full-plate global reconstruction spanning the Neoproterozoic and Phanerozoic in a palaeomagnetic reference frame.
,Paleogeography and plate-tectonic reconstructions,Paleolatitude,Paleolatitude.org,hagen,,https://paleolatitude.org/,Web service for reconstructing palaeocoordinates of localities under selectable plate models.
,Paleogeography and plate-tectonic reconstructions,PaleoAtlas,PALEOMAP PaleoAtlas for GPlates,hagen,,https://www.earthbyte.org/paleomap-paleoatlas-for-gplates/,Time-dependent raster atlas of global palaeogeographic maps loadable into GPlates.
,Paleogeography and plate-tectonic reconstructions,Deep Time Maps,Deep Time Maps,kocsis,,https://deeptimemaps.com/,
,Paleogeography and plate-tectonic reconstructions,ERDA,EarthRef Digital Archive,kocsis,,https://earthref.org/ERDA/,"Archive of Earth-science datasets including palaeomagnetic, geochemical and palaeogeographic products."
,Paleogeography and plate-tectonic reconstructions,Gplates Web Service,Gplates Web Service,kocsis,gws.png,https://gwsdoc.gplates.org/,
,Paleogeography and plate-tectonic reconstructions,PALEOMAP,PALEOMAP Project,kocsis,paleomap.gif,https://www.scotese.com/,"Long-running project providing plate-tectonic, palaeogeographic, palaeoclimatic and biogeographic reconstructions."
,Phylogenies,OpenTree,Open Tree of Life,hagen,,,Synthetic tree combining published phylogenies with a comprehensive taxonomic backbone and source mappings.
,Phylogenies,PhylomeDB,PhylomeDB,hagen,,http://phylomedb.org/,"Repository of complete collections of gene phylogenies, alignments and orthology/paralogy predictions for sequenced genomes."
,Phylogenies,TreeBASE,TreeBASE,hagen,,https://www.treebase.org/,"Repository for published phylogenetic trees, character matrices and study metadata."
,Phylogenies,Phylacine,The Phylogenetic Atlas of Mammal Macroecology,kocsis,phylacine.png,https://megapast2future.github.io/PHYLACINE_1.2/,
,Population-genetic and phylogeographic data,DToL,Darwin Tree of Life,hagen,,https://www.darwintreeoflife.org/,Programme producing high-quality reference genomes for eukaryotic species of Britain and Ireland.
,Population-genetic and phylogeographic data,EBP,Earth BioGenome Project,hagen,,https://www.earthbiogenome.org/,Global network coordinating reference-genome sequencing across eukaryotic biodiversity.
,Population-genetic and phylogeographic data,EVA,European Variation Archive,hagen,,https://www.ebi.ac.uk/eva/,"Open repository for genetic variation data across non-human species, linked to assemblies, samples and studies."
,Population-genetic and phylogeographic data,GenDivRange,GenDivRange,hagen,,https://gendivrange.org/,Global georeferenced compilation linking within-population genetic diversity estimates to species ranges.
,Population-genetic and phylogeographic data,GEOME,Genomic Observatories Metadatabase,hagen,,https://geome-db.org/,Repository for georeferenced biological sample metadata linked to sequence accessions.
,Population-genetic and phylogeographic data,GGBN,Global Genome Biodiversity Network,hagen,,https://www.ggbn.org/,"Federated portal exposing genomic DNA, tissue, environmental samples and voucher links in biodiversity biobanks."
,Population-genetic and phylogeographic data,VGP,Vertebrate Genomes Project,hagen,,https://vertebrategenomesproject.org/,International project generating high-quality reference genomes across vertebrate diversity.
,Publication-specific datasets not represented by a major infrastructure,,EutherianCoP,hagen,,,"Integrated Late Pleistocene–Holocene placental-mammal dataset combining fossil and modern occurrences, traits and environmental data."
,Publication-specific datasets not represented by a major infrastructure,,MEGA14C,hagen,,,Holarctic database of radiocarbon dates for large mammals.
,Publication-specific datasets not represented by a major infrastructure,WOODIV,WOODIV v2,hagen,,,"Integrated Euro-Mediterranean woody-plant resource combining deduplicated occurrences, traits and a dated phylogeny."
,Publication-specific datasets not represented by a major infrastructure,,FAUNMAP,kocsis,,https://ucmp.berkeley.edu/faunmap/,Archival North American late Cenozoic mammal locality and assemblage database.
,"Soils, geology, lithology, and substrate",GLHYMPS,GLobal HYdrogeology MaPS,hagen,,https://doi.org/10.5683/SP2/DLGXYO,Global permeability and porosity maps derived from lithology and hydrogeological information.
,"Soils, geology, lithology, and substrate",GLiM,Global Lithological Map,hagen,,https://doi.pangaea.de/10.1594/PANGAEA.788537,Global vector map of surface lithology harmonised into standard rock classes.
,"Soils, geology, lithology, and substrate",HWSD,Harmonized World Soil Database v2,hagen,,https://www.fao.org/soils-portal/data-hub/soil-maps-and-databases/harmonized-world-soil-database-v20/en/,Global raster soil inventory linking mapping units to harmonised physical and chemical attributes.
,"Soils, geology, lithology, and substrate",OneDZ,OneDZ detrital zircon database,hagen,,https://essd.copernicus.org/articles/18/3671/2026/,Very large global compilation of detrital zircon U-Pb and Lu-Hf records extracted from publications.
,"Soils, geology, lithology, and substrate",,SoilGrids,hagen,,https://isric.org/explore/soilgrids,Machine-learning global predictions of soil properties at standard depths with uncertainty.
,"Soils, geology, lithology, and substrate",WoSIS,World Soil Information Service,hagen,,https://www.isric.org/explore/wosis,Quality-assessed global database of georeferenced soil-profile observations.
,Species distributions and range maps,GABI,AntMaps / Global Ant Biodiversity Informatics,hagen,,https://antmaps.org/,"Global synthesis of ant species distributions assembled from literature, databases and expert curation."
,Species distributions and range maps,MOL,Map of Life,hagen,,https://mapoflife.ai/,"Integrated platform combining occurrences, expert ranges, checklists and environmental data into distribution and indicator products."
,Species distributions and range maps,AquaMaps,AquaMaps,kocsis,aquamaps.png,https://www.aquamaps.org/,Model-generated global aquatic species distribution maps using environmental envelopes and expert review.
,Species distributions and range maps,BirdLife maps,BirdLife Species Distribution Maps,kocsis,,https://datazone.birdlife.org/dataset-information,Expert range maps and conservation information for the world's birds using BirdLife taxonomy.
,Species distributions and range maps,FEOW,Freshwater Ecoregions of the World,kocsis,,https://www.feow.org/,"Global freshwater ecoregion framework delineated using fish distributions and hydrographic boundaries, with associated biodiversity information."
,Species distributions and range maps,IUCN ranges,IUCN Red List Spatial Data,kocsis,iucn.webp,https://www.iucnredlist.org/resources/spatial-data-download,Expert-reviewed distribution polygons and assessment attributes for taxa assessed by the IUCN Red List.
,Species distributions and range maps,MEOW,Marine Ecoregions of the World,kocsis,,https://www.worldwildlife.org/publications/marine-ecoregions-of-the-world-a-bioregionalization-of-coastal-and-shelf-areas,"Global nested classification of coastal and shelf marine areas into realms, provinces and ecoregions."
,Species distributions and range maps,PPOW,Pelagic Provinces of the World,kocsis,,,
,Species distributions and range maps,G200,Global 200 Ecoregions,kocsis,,,
,Species distributions and range maps,Biodiversiy hotspots,Biodiversity Hotspots (sensu Myers et al.),kocsis,,,
,Stratigraphy,OneGeology,OneGeology,hagen,,https://onegeology.org/,International portal providing interoperable access to geological maps from national surveys.
,Stratigraphy,Chinalex,China Lexicon of Stratigraphic Units,kocsis,generic.svg,https://chinalex.geolex.org/,
,Stratigraphy,Geolex,International Geology Website and Database,kocsis,,https://geolex.org/,
,Stratigraphy,GeoWhen,The GeoWhen Database,kocsis,geowhen.gif,https://timescalefoundation.org/resources/geowhen/geolist.html,
,Stratigraphy,ICC,International Chronostratigraphic Chart,kocsis,,https://stratigraphy.org/chart/,Official International Commission on Stratigraphy hierarchy and numerical boundary ages for chronostratigraphic and geochronologic units.
,Stratigraphy,Macrostrat,Macrostrat,kocsis,,https://macrostrat.org/,"Geological database integrating stratigraphic columns, geologic maps, rock units, ages and fossil links."
,"Taxonomies, nomenclatural resources, and species checklists",ASW,Amphibian Species of the World,hagen,,https://amphibiansoftheworld.amnh.org/,"Expert global taxonomic reference for amphibians with nomenclature, distributions and literature."
,"Taxonomies, nomenclatural resources, and species checklists",AviList,AviList: The Global Avian Checklist,hagen,,https://www.avilist.org/,Consensus global bird taxonomy created by harmonising previously competing world checklists and documenting nomenclatural decisions.
,"Taxonomies, nomenclatural resources, and species checklists",GBIF Backbone,GBIF Backbone Taxonomy,hagen,,https://www.gbif.org/dataset/d7dddbf4-2cf0-4f39-9b2a-bb099caae36c,Operational taxonomic backbone used to index and interpret GBIF-mediated names.
,"Taxonomies, nomenclatural resources, and species checklists",Index Fungorum,Index Fungorum,hagen,,https://www.indexfungorum.org/,"Global index of scientific names of fungi, including names of fossil forms, with nomenclatural and bibliographic information."
,"Taxonomies, nomenclatural resources, and species checklists",MDD,Mammal Diversity Database,hagen,,https://www.mammaldiversity.org/,Versioned taxonomy and distribution checklist for living and recently extinct mammals.
,"Taxonomies, nomenclatural resources, and species checklists",MycoBank,MycoBank,hagen,,https://www.mycobank.org/,"Authoritative registration and nomenclatural database for fungi, including names, descriptions and linked literature."
,"Taxonomies, nomenclatural resources, and species checklists",NCBI Taxonomy,NCBI Taxonomy,hagen,,https://www.ncbi.nlm.nih.gov/taxonomy,"Curated classification linking organisms to NCBI sequences, assemblies and samples."
,"Taxonomies, nomenclatural resources, and species checklists",POWO,Plants of the World Online,hagen,,https://powo.science.kew.org/,"Kew-curated portal integrating accepted plant names, synonymy, distributions, descriptions and uses."
,"Taxonomies, nomenclatural resources, and species checklists",Species Fungorum,Species Fungorum,hagen,,https://www.speciesfungorum.org/,"Global working list of accepted fungal species names and synonymy, linked to Index Fungorum."
,"Taxonomies, nomenclatural resources, and species checklists",RDB,The Reptile Database,hagen,,https://reptile-database.reptarium.cz/,"Comprehensive taxonomy of living reptiles with synonymy, literature and broad distributions."
,"Taxonomies, nomenclatural resources, and species checklists",WFO,World Flora Online,hagen,,https://www.worldfloraonline.org/,Global consensus plant checklist and taxonomic backbone.
,"Taxonomies, nomenclatural resources, and species checklists",Mikrotax,Mikrotax,kocsis,microtax.jpg,https://www.mikrotax.org/,"Expert taxonomic portals for major microfossil groups, with images, synonymies, descriptions and stratigraphic ranges."
,"Taxonomies, nomenclatural resources, and species checklists",AlgaeBase,AlgaeBase,kocsis,algaebase-logo-214.png,https://www.algaebase.org/,"Global taxonomic, nomenclatural, distributional and bibliographic database for algae across marine, freshwater and terrestrial environments."
,"Taxonomies, nomenclatural resources, and species checklists",COL,Catalogue of Life,kocsis,col.jpg,https://www.catalogueoflife.org/,Global taxonomic checklist integrating expert-maintained Global Species Databases into versioned releases.
,"Taxonomies, nomenclatural resources, and species checklists",FishBase,FishBase,kocsis,fishbase.png,https://www.fishbase.se/,"Global species database integrating taxonomy, distribution, ecology, life history, morphology and fisheries information for finfishes."
,"Taxonomies, nomenclatural resources, and species checklists",IFPNI,International Fossil Plant Names Index,kocsis,IFPNI Logo.gif,https://ifpni.org/,
,"Taxonomies, nomenclatural resources, and species checklists",WoRMS,World Register of Marine Species,kocsis,,https://www.marinespecies.org/,"Expert-edited global register of marine names, synonyms and classifications."
,Time-calibrated phylogenies,BirdTree,BirdTree,hagen,,https://birdtree.org/,Portal distributing global posterior samples of time-calibrated avian phylogenies.
,Time-calibrated phylogenies,FToL,Fish Tree of Life,hagen,,https://fishtreeoflife.org/,Online phylogenetic framework and taxonomic resources for fishes.
,Time-calibrated phylogenies,GBOTB.extended,GBOTB.extended / V.PhyloMaker2,hagen,,https://github.com/jinyizju/V.PhyloMaker2,Large vascular-plant megatree and software for attaching missing species using taxonomic rules.
,Time-calibrated phylogenies,TimeTree,TimeTree,hagen,,https://timetree.org/,Knowledge base synthesising published molecular divergence-time estimates into a time-scaled tree.
,Time-calibrated phylogenies,VertLife,VertLife phylogeny portals,hagen,,https://vertlife.org/data/,Posterior distributions of dated trees and subtree tools for major vertebrate clades.
,Time-calibrated phylogenies,FCD,Fossil Calibration Database,kocsis,,http://fossilcalibrations.org/,Peer-reviewed records of vetted fossil calibrations tied to phylogenetic nodes and explicit age constraints.
,Traits,Amniote,Amniote Life-History Database,hagen,,https://datadryad.org/dataset/doi:10.5061/dryad.v28t5,"Harmonised life-history database for birds, mammals and reptiles assembled from previous compilations and literature."
,Traits,AmphiBIO,AmphiBIO,hagen,,https://www.nature.com/articles/sdata2017123,"Global database of amphibian ecological, morphological and reproductive traits."
,Traits,AusTraits,AusTraits,hagen,,https://austraits.org/,"Versioned, harmonised plant trait database for the Australian flora with controlled vocabulary and provenance."
,Traits,AVONET,AVONET,hagen,,https://figshare.com/s/b990722d72a26b5bfead,"Morphological, ecological and geographic traits for all extant bird species, including individual museum measurements."
,Traits,BeeFunc,BeeFunc,hagen,,https://www.nature.com/articles/s41597-025-04706-3,Harmonised ecological and functional traits for wild bees in France.
,Traits,BIRDBASE,BIRDBASE,hagen,,https://www.nature.com/articles/s41597-026-06383-0,"Comprehensive avian trait database aligned to AviList, covering morphology, ecology, life history, movement and conservation-relevant attributes."
,Traits,CactEcoDB,CactEcoDB,hagen,,https://github.com/jamie-thompson/CactEcoDB,"Integrated cactus species dataset combining traits, ranges, environments, phylogeny and diversification metrics."
,Traits,CoRRE Traits,CoRRE Trait Data,hagen,,https://www.nature.com/articles/s41597-024-03637-x,Plant trait data linked directly to coordinated global-change grassland experiments.
,Traits,EltonTraits,EltonTraits,hagen,,https://www.mol.org/downloads/,"Species-level diet, foraging stratum, activity and body-mass traits for birds and mammals."
,Traits,FungalTraits,FungalTraits,hagen,,https://github.com/traitecoevo/fungaltraits,Taxon-level fungal ecological guild and functional-attribute assignments.
,Traits,GlobTherm,GlobTherm,hagen,,https://datadryad.org/dataset/doi:10.5061/dryad.1cv08,Global compilation of experimentally measured thermal tolerance limits.
,Traits,MammalDIET,MammalDIET,hagen,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.6ww2k,Global compilation of quantitative and categorical diet preferences for terrestrial mammals.
,Traits,PanTHERIA,PanTHERIA,hagen,,https://esapubs.org/archive/ecol/E090/184/,"Species-level mammal life-history, ecological and geographic trait compilation."
,Traits,ReptTraits,ReptTraits,hagen,,https://figshare.com/articles/dataset/ReptTraits/,Global ecological and life-history trait compilation for reptiles.
,Traits,ART DB,Ancient Reef Traits Database,kocsis,art_logo.png,https://www.art.nat.fau.de/,"A searchable database of coral observations, traits, taxonomy, locations and environmental metadata."
,Traits,CoralTraits,Coral Trait Database,kocsis,,https://www.coraltraits.org/,"Community-curated coral trait observations with taxonomy, phylogeny, geography and source metadata."
,Traits,TRY,TRY Plant Trait Database,kocsis,Try41.jpg,https://www.try-db.org/,Global compilation of plant trait measurements contributed by many datasets and standardised to common definitions.
,Traits,PETS,PETS database,kocsis,pets.png,https://pets.nhm.uio.no/PETS/,Trait time series.
,,,Song et al. Paleotemperatures,kocsis,,,
,,,Halpern et al!,kocsis,,,
,,Chronosphere,Chronosphere Data Portal,kocsis,chronosphere_500x500.png,https://chronosphere.info/,Version-controlled data
,,PhyloPic,PhyloPic,kocsis,phylopic.png,https://www.phylopic.org/,An open database of freely reusable silhouettes of life forms
